Comentário;Classificação
Oi Sabrinaa :D Então, eu n sei se vc ja sabe mas vou falar caso não saiba. Colocar muitos links na descrição do vídeo prejudica o ranqueamento e a entrega dos seus vídeos, porque o algoritmo não entende direito o que você ta querendo dizer e afins. Daí é menos pior se você colocar em um comentário fixado, que atrapalha, porém menos, porque é super importante colocar as fontes, inclusive esse é um dos motivos que me fazem amar seu canal.;Elogio e Sugestao
E o que podemos fazer,Sabrina, sobre isso?;Duvida
"cho bonito a Esquerda se sensibilizando com isso, mas, tudo bem, vamos lá eliminar esses apps... agora quem souber por favor me diga: o que essas pessoas vão fazer? Vão passar fome? 
Além disso, tem profissão de nível superior regulamentada aqui no Brasil (pelas autarquias, que cobram uma taxa de R$700 só pra pessoa poder trabalhar legalmente) em que a cooperativa paga R$6 por 40-60 min de trabalho. Sem vínculo empregatício. 
Ou seja, no mês ruim (R$2000) um entregador desse ganha mais que uma pessoa que estudou 5 anos pra exercer uma profissão.";Critica e Opiniao
Como sei que você tem formação em economia, fiquei intrigado que ainda não vi nada tão desenvolvido por você a respeito da reforma da previdência, digo, rebatendo os argumentos (e o terrorismo) neoliberais no tema. Acredito que essa disputa de narrativa tem sido cada dia mais necessária no país diante da imposição de consenso promovida pelo governo e monopólios de mídia etc. Chuto que você deva estar completamente abarrotada com a militância e os corres do livro, mas tenho muita curiosidade na forma que você abordaria a questão como economista.. Abraços!;Sugestao e Critica
"Entendi e concordo com a precarização do trabalho. Mas minha pergunta é: 
- Não seria pior se não houvessem tais possibilidades? 
(Visto que ainda com todos os problemas são fonte de renda para milhões de pessoas no cenário atual?)";Duvida
Reflexão muito interessante. Um tema relacionado para um próximo vídeo é a questão da automação. Como ela torna a maioria dos trabalhadores obsoletos, consequências para a sociedade e possíveis soluções.;Opiniao e Elogio
Que explicação incrível.;Elogio
"Oi, meu amor. Obrigada por esse olhar marxista... Vamos tirar esse véu de ""gerar mais empregos"", e vamos nos perguntar: que empregos? Que condições? Você é genial. Obrigada pela sua existência! <3";Opiniao e Elogio
"Ah gente, editem a legenda desses dois videos, por favorrrrrr.
Sou Surda bilíngue, mestranda em Serviço Social é acompanho aqui o canal da Sabrina, mas infelizmente nem todos os videos tem legenda... então, só consigo assistir os que tem.
A legenda automática é muito ruim, devido aos erros e falta de pontuação.";Sugestao e Opiniao
Você tá falando bem mais pausado, tá bem mais legal sim!;Opiniao e Elogio
cansei de ver homens de esquerda sendo machistas. Gente de sindicato de professores universitários defendendo abuso sexual e psicológico, claro entre homens (professores, sindicalizados e universitários). Isso é horrível. Minha esquerda é benjaminiana, há sempre a necessidade de usarmos o anjo da história para refletir sobre os derrotados e os silenciados a cada nova síntese histórica. Precisamos aceitar novas identidades, elas vão surgir e estarão ai e ponto. Olhemos mais para os derrotados da história (geralmente os silenciados) .;Critica
Sabrina, vale a pena dialogar com um boçal que acredita em pepsi sabor feto? Olavo é um imbecil completo. Dialogar com ele não seria abrir um espaço de promoção para alguém que deveria ser repudiado?;Duvida
O maior problema dessa pauta identitária aqui no Brasil é justamente o fato de não ser uma coisa brasileira. Toda esquerda européia e a nova esquerda norteamericana adora pautar as pessoas pelo seu gênero, cor da pele ou opção sexual e esquece de dizer com clareza se é a favor ou não do Socialismo e da tomada do poder pela classe trabalhadora. Muita gente que é antibolsonaro não é necessáriamente antineoliberal e isso PARA MIM é um problema se você enxerga que o maior problema do Brasil é a desigualdade social.;Critica e Opiniao
Você me ajuda muito, obrigada!! Não tive acesso a informações acadêmicas, e assistir seus vídeos me leva a reflexões que jamais fui capaz de imaginar. Agradeço;Elogio
Os tontinhos sempre caem no título do vídeo kkkkk, agora a esquerda YouTuber foi igualzinha a direita no artigo do Jesus pedófilo. Muito engraçado.;Odio e Critica
Discordo de praticamente tudo. Exceto pela parte de ser fan de Doctor Who <3;Critica
Cara parabéns pelo seu canal seus vídeos são excelentes sou estudante neoliberal, mas mesmo com pensamentos diferentes admiro muito a forma com que você argumenta se existisse mais esquerdistas como você poderíamos ter melhores diálogos.Eu gostaria saber qual a possibilidade de fazermos um vídeo juntos. Abraços!!;Opiniao e Elogio
Discordamos em diversos pontos pelo fato de eu ser um Ancap, mas seus vídeos são ótimos =) ... Parabéns;Elogio e Critica
"Estado Capitalista? Kkk"" teoria de papel alumínio em.";Critica
Quando vc fala capitalismo, se refere ao corporativismo, ou livre mercado?;Duvida
Como vc refuta o argumento de que a propriedade privada é um conceito apriorístico, justificado pelo raciocínio de que um objeto produzido não existiria sem o produtor, de sorte que seria eticamente legítimo que uma pessoa tenha como seu o terreno onde lavrou e construiu (que seria como uma extensão da sua pessoa)?;Duvida e Critica
Muito bons seus vídeos, Queria que tivessem mais visibilidade.;Opiniao e Elogio
"ala sobre democracia direta, acho que é o único governo coerente com a ""ditadura do proletariado"" no socialismo, ou seja, democracia direta que é onde a população decide as coisas, sem merda de representantes, será ditadura do proletariado pq a maioria da população é operária.";Critica e Opiniao
"""estado capitalista"" kkkkkkk Não existe estado capitalista! O estado taxa, regula e burocratiza a vida dos indivíduos, como pode ser chamado de capitalista se ele impede a liberdade das pessoas? o q existe são níveis de liberdade, quanto mais livre e menor é o estado, mais capitalista o país é. É tipo dizer que um ladrão que rouba uma sapataria todo mês é um sapateiro.";Odio e Critica
"Minha filha, você é tão bonita, procure pensar pela própria cabeça, use a sua inteligência em vez de ficar repetindo toda esta lenga-lenga surrada, ultrapassada e fossilizada, que eu já ouvia há quase 50 anos (!!!) nos meus tempos de faculdade, e se livre de toda esta doutrinação e lavagem cerebral que te fizeram, e que continua a só ser possível mesmo num país subdesenvolvido por convicção como este aqui ( aos 19 anos eu já dizia isto... ). De um velho médico ginecologista de 68 anos, escritor, artista visual, músico e, politicamente... antiestatista e anarco-libertário desde que me entendo por mim. E ainda vim dos gloriosos tempos do chamado ""underground"" e da ""contracultura"" nas décadas de 60 e 70. Vivi muito e vi muitas coisa. Abraço. P.S.: Creio ser desnecessário dizer, mas NÃO TENHO VINCULAÇÃO COM NENHUM PARTIDO POLÍTICO dentro do sistema. Abomino a político tradicional.";Odio e Critica
Tão bonita... da até pena;Odio
Discordo de tudo que você fala, mas não pude deixar de dar like só porque você é linda hahaha. Parece até uma mina da direita. Parabéns!;Odio
Jovem da elite falando sobre Karl Marx?;Odio e Critica
Acredito que seria muito bom definir o conceito de Livre Mercado, Capitalismo, Socialismo e Comunismo em um dos seus videos, você é acompanhada por muitos liberais/libertários e dizer que o Brasil é um estado majoritariamente capitalista, para nós liberais/libertários, chega até ser um soco no estomago.;Sugestao e Opiniao
"Como tem tanta gente falando besteira, gente falando que o estado não e capitalista, que não quer ceder a propriedade pra ninguem e coisas do tipo, parece que nem assistiram o video da moça e não entenderam do que se trata, se querem ""provar"" que o estado burgues não e capitalista, leiam marx, durkheim e outros sociologos e debatam de verdade, sem birra de falso surdo e chacotas vazias";Critica
"""Economistas de esquerda"" esses canais de esquerda são mais engraçados do que stand up.";Critica
Parabéns, a esquerda tem q fazer canal sim! Chega de ancaps;Opiniao e Elogio
Cada vídeo uma aula e uma oportunidade de repensar as nossas estratégias. Fico feliz que vc tenha organizado todo esse conteúdo e pensamento crítico, que dialogam essencialmente com os meus valores. Antes do Tese Onze não tinha ideia de por onde começar a nomear esses incômodos. Muito menos da forma leve como vc faz. :) grata por isso!;Opiniao e Elogio
